file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task2_and_3_IT.java,com.pluralsight.module1.Module1_Task2_and_3_IT,class,8,8,0,8,7,1,0,12,0,0.33333334,1,1,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,43,0,0,0,4,0,10,0,11,1,9,2,0,0,0,46,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task1_IT.java,com.pluralsight.module1.Module1_Task1_IT,class,7,8,1,7,9,1,0,14,2,0.6,0.33333334,0.5,5,0,4,1,0,0,4,0,0,0,3,0,0,2,0,1,0,0,0,47,2,1,0,2,0,14,0,12,4,8,3,0,0,0,52,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module3/Module3_Task6_and_7_IT.java,com.pluralsight.module3.Module3_Task6_and_7_IT,class,9,9,0,9,8,2,0,12,0,0.38888893,1,1,3,0,3,0,0,0,3,0,0,0,6,4,0,2,0,4,0,0,0,47,0,0,1,4,0,10,0,11,1,8,2,0,0,0,49,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module2/Module2_Task3_thru_6_IT.java,com.pluralsight.module2.Module2_Task3_thru_6_IT,class,11,11,0,11,11,2,0,16,0,0.64444447,1,1,5,0,5,0,0,0,5,0,0,0,9,7,0,2,0,7,0,0,0,80,0,0,0,6,0,17,2,22,5,18,1,0,0,0,59,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module2/Module2_Task11_thru_14_IT.java,com.pluralsight.module2.Module2_Task11_thru_14_IT,class,8,9,1,8,18,1,0,17,0,0.5714286,0.7,1,6,0,5,1,0,0,5,0,0,0,7,0,0,3,0,4,0,0,1,89,0,1,0,7,0,27,3,21,4,18,3,0,0,0,88,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task4_IT.java,com.pluralsight.module1.Module1_Task4_IT,class,2,2,0,2,2,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,2,0,3,0,2,1,0,0,0,21,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task7_and_8_IT.java,com.pluralsight.module1.Module1_Task7_and_8_IT,class,11,11,0,11,9,2,0,18,0,0.59999996,1,1,3,0,3,0,0,0,3,0,0,0,10,8,0,2,0,8,0,0,0,63,0,1,1,4,0,14,2,21,2,15,2,0,0,0,66,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module2/Module2_Task1_and_2_IT.java,com.pluralsight.module2.Module2_Task1_and_2_IT,class,9,9,0,9,7,2,0,12,0,0.33333334,1,1,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,43,0,0,0,4,0,10,0,11,1,9,2,0,0,0,50,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module2/Module2_Task7_thru10_IT.java,com.pluralsight.module2.Module2_Task7_thru10_IT,class,8,9,1,8,17,1,0,17,0,0.6458333,0.78571427,1,8,0,8,0,0,0,8,0,0,0,6,0,0,3,0,3,0,0,0,88,0,2,0,2,0,36,0,28,3,17,3,0,0,0,81,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/main/java/com/pluralsight/Book.java,com.pluralsight.Book,class,0,5,5,0,11,1,0,0,1,0.5909091,0.4909091,1,11,0,11,0,0,0,11,0,0,0,4,0,0,0,0,4,0,0,0,44,5,0,0,0,0,4,0,11,1,4,0,0,0,0,13,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/main/java/com/pluralsight/ControllerServlet.java,com.pluralsight.ControllerServlet,class,9,16,7,9,13,2,0,19,22,0.77777785,0.1,0.1,9,0,4,4,1,0,5,0,0,0,3,1,0,3,0,0,1,0,1,66,0,0,0,1,0,13,1,14,0,14,2,0,0,0,54,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task6_IT.java,com.pluralsight.module1.Module1_Task6_IT,class,5,5,0,5,4,1,0,15,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,3,0,6,4,18,0,11,1,0,0,0,50,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/main/java/com/pluralsight/DBConnection.java,com.pluralsight.DBConnection,class,1,3,2,1,11,1,0,18,0,0.2,0.5,0.5,5,0,4,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,4,49,1,0,1,3,0,12,2,6,3,5,2,0,0,0,49,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module3/Module3_Task8_thru_11_IT.java,com.pluralsight.module3.Module3_Task8_thru_11_IT,class,12,12,0,12,13,2,0,18,0,0.7473685,1,1,5,0,5,0,0,0,5,0,0,0,19,17,0,2,0,17,0,0,0,108,0,1,1,6,0,39,2,39,6,27,2,0,0,0,77,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task5_IT.java,com.pluralsight.module1.Module1_Task5_IT,class,5,5,0,5,4,1,0,12,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,3,0,4,2,11,0,8,1,0,0,0,45,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/main/java/com/pluralsight/BookDAO.java,com.pluralsight.BookDAO,class,1,9,8,1,10,1,0,19,0,0,1,1,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,65,4,1,0,3,0,10,5,21,0,20,2,0,0,0,44,1,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module3/Module3_Task1_thru_5_IT.java,com.pluralsight.module3.Module3_Task1_thru_5_IT,class,7,7,0,7,11,1,0,16,0,0.71428573,1,1,6,0,6,0,0,0,6,0,0,0,14,12,0,0,0,14,0,0,0,86,0,0,0,5,0,16,8,31,1,15,1,0,0,0,66,1,0
,,,6.647058824,,,,9.705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
