file,class,method,variable,usage
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task2_and_3_IT.java,com.pluralsight.module1.Module1_Task2_and_3_IT,_task3/0,request,4
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task2_and_3_IT.java,com.pluralsight.module1.Module1_Task2_and_3_IT,_task3/0,e,2
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task2_and_3_IT.java,com.pluralsight.module1.Module1_Task2_and_3_IT,_task3/0,controllerServlet,2
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task2_and_3_IT.java,com.pluralsight.module1.Module1_Task2_and_3_IT,_task3/0,response,2
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task2_and_3_IT.java,com.pluralsight.module1.Module1_Task2_and_3_IT,_task3/0,called_deleteBook,2
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task2_and_3_IT.java,com.pluralsight.module1.Module1_Task2_and_3_IT,_task3/0,tempID,1
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task2_and_3_IT.java,com.pluralsight.module1.Module1_Task2_and_3_IT,_task3/0,errorMsg,3
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task2_and_3_IT.java,com.pluralsight.module1.Module1_Task2_and_3_IT,setUp/0,e,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task2_and_3_IT.java,com.pluralsight.module1.Module1_Task2_and_3_IT,_task2/0,errorMsg,1
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task1_IT.java,com.pluralsight.module1.Module1_Task1_IT,url_contains_id/1[java.lang.String],found,1
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task1_IT.java,com.pluralsight.module1.Module1_Task1_IT,url_contains_id/1[java.lang.String],e,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task1_IT.java,com.pluralsight.module1.Module1_Task1_IT,url_contains_id/1[java.lang.String],anchor,2
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task1_IT.java,com.pluralsight.module1.Module1_Task1_IT,url_contains_id/1[java.lang.String],textStr,4
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task1_IT.java,com.pluralsight.module1.Module1_Task1_IT,findURLWithID/1[java.lang.String],a,2
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task1_IT.java,com.pluralsight.module1.Module1_Task1_IT,findURLWithID/1[java.lang.String],foundURL,6
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task1_IT.java,com.pluralsight.module1.Module1_Task1_IT,findURLWithID/1[java.lang.String],testingURL,1
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task1_IT.java,com.pluralsight.module1.Module1_Task1_IT,findURLWithID/1[java.lang.String],e,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task1_IT.java,com.pluralsight.module1.Module1_Task1_IT,findURLWithID/1[java.lang.String],href,1
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module1/Module1_Task1_IT.java,com.pluralsight.module1.Module1_Task1_IT,findURLWithID/1[java.lang.String],urlStr,2
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module3/Module3_Task6_and_7_IT.java,com.pluralsight.module3.Module3_Task6_and_7_IT,_task7/0,e,0
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module3/Module3_Task6_and_7_IT.java,com.pluralsight.module3.Module3_Task6_and_7_IT,_task7/0,errorMsg,3
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module3/Module3_Task6_and_7_IT.java,com.pluralsight.module3.Module3_Task6_and_7_IT,_task6/0,errorMsg,1
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module3/Module3_Task6_and_7_IT.java,com.pluralsight.module3.Module3_Task6_and_7_IT,setUp/0,e,2
/Users/palesnow/Downloads/ood1/Java-BookStore-master/src/test/java/com/pluralsight/module2/Module2_Task3_thru_6_IT.java,com.pluralsight.module2.Module2_Task3_thru_6_IT,_task3/0,called_getBook,2
