file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/data/GoodOutputs.java,data.GoodOutputs,class,1,4,3,1,5,1,0,5,0,0.5,0.33333334,0.33333334,4,1,3,1,0,0,3,0,0,0,2,1,0,2,0,0,0,0,26,45,2,0,1,0,1,0,678,4,1,4,1,0,0,0,14,1,0
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,class,8,9,1,8,15,6,0,51,2,0.7481481,0.0,0.0,9,1,2,7,0,0,2,0,0,0,15,0,0,15,0,0,1,0,13,174,0,2,0,1,1,73,39,44,3,43,3,0,0,7,107,1,0
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Network.java,neural.Network,class,1,2,1,1,9,1,0,8,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,23,1,4,0,0,0,0,2,5,1,5,1,0,0,0,19,1,0
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/utils/MathUtils.java,utils.MathUtils,class,0,1,1,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,2,0,2,0,2,0,0,0,0,0,6,1,0
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Train.java,neural.Train,class,3,4,1,3,6,1,0,11,0,0.4666667,0.8,1.0,5,0,5,0,0,0,5,0,0,0,3,1,0,3,0,0,1,0,2,27,1,1,0,0,2,0,2,6,1,6,1,0,0,0,26,1,0
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/TrainingSet.java,neural.TrainingSet,class,0,3,3,0,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Neuron.java,neural.Neuron,class,2,4,2,2,10,1,0,9,0,0.5277778,0.7,1.0,6,0,5,1,0,0,5,0,0,0,6,2,0,6,0,0,2,0,3,45,1,3,1,0,0,0,7,17,4,11,1,0,0,0,30,1,0
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/data/GoodPixels.java,data.GoodPixels,class,1,3,2,1,8,1,0,7,1,0.5714286,0.5,0.5,7,1,4,3,0,0,4,0,0,0,2,1,0,2,0,0,0,0,26,54,3,0,1,0,1,0,10402,4,1,4,1,0,0,0,17,1,0
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/components/data/Section.java,gui.components.data.Section,class,0,2,2,0,7,1,0,0,7,0.68571424,0.33333334,1.0,7,0,7,0,0,0,7,0,0,0,5,0,0,5,0,0,0,0,0,32,5,0,0,0,0,0,0,6,0,5,0,0,0,0,17,1,0
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/components/DrawingPanel.java,gui.components.DrawingPanel,class,3,5,2,3,21,6,0,13,36,0.0,0.0,0.0,9,0,8,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,38,0,2,0,0,0,0,0,0,4,0,3,0,0,0,26,1,0
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/components/CustomPanel.java,gui.components.CustomPanel,class,2,5,3,2,19,5,1,21,0,0.5833333,0.4,0.4,9,0,5,3,1,0,6,0,0,0,4,0,0,3,1,0,0,0,0,68,2,7,1,0,2,0,8,8,6,8,2,0,0,0,33,1,0
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/data/ReadWriteFile.java,data.ReadWriteFile,class,3,6,3,3,11,1,0,18,3,0.0,0.0,0.0,3,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,53,2,5,1,3,2,5,5,14,3,13,4,0,0,0,37,1,0
