file,class,method,variable,usage
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/data/GoodOutputs.java,data.GoodOutputs,getGoodOutput/1[java.lang.String],goodValues,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/data/GoodOutputs.java,data.GoodOutputs,getInstance/0,instance,3
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/data/GoodOutputs.java,data.GoodOutputs,addGoodOutputs/0,goodValues,26
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/data/GoodOutputs.java,data.GoodOutputs,GoodOutputs/0,goodValues,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,updateTextArea/0,networkTrainer,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,updateTextArea/0,outputTextArea,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,MainGui/0,networkTrainer,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOutputPanel/0,mainPanel,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOutputPanel/0,outputTextArea,3
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setRightSide/0,mainPanel,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setRightSide/0,resultPanel,2
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setRightSide/0,RESOLUTION,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,networkTrainer,4
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,trainNetworkButton,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,clearButton,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,transformButton,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,drawingPanel,6
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,helpButton,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,trainAsCombo,2
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,resultPanel,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,trainButton,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,trainingSetsAmount,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,drawLetterButton,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,drawLetterCombo,3
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setCenterArea/0,trainNetworkButton,2
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setCenterArea/0,clearButton,3
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setCenterArea/0,transformButton,2
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setCenterArea/0,helpButton,2
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setCenterArea/0,mainPanel,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setCenterArea/0,trainAsCombo,5
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setCenterArea/0,trainButton,2
