file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/data/GoodOutputs.java,data.GoodOutputs,getGoodOutput/1[java.lang.String],false,104,0,2,2,0,1,2,5,1,2,1,2,0,0,0,0,0,1,0,2,2,1,0,0,0,0,7,1,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/data/GoodOutputs.java,data.GoodOutputs,getInstance/0,false,12,1,3,2,1,2,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,6,9,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/data/GoodOutputs.java,data.GoodOutputs,addGoodOutputs/0,false,24,0,1,1,0,1,2,28,0,0,0,2,0,0,0,0,0,0,0,676,0,0,0,0,0,0,3,2,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/data/GoodOutputs.java,data.GoodOutputs,GoodOutputs/0,true,19,1,2,1,1,1,1,4,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,updateTextArea/0,false,212,1,2,1,1,4,7,17,0,6,0,7,0,0,1,0,0,1,2,8,10,3,2,0,0,0,12,2,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,MainGui/0,true,40,2,8,1,7,1,11,15,0,0,0,11,6,2,0,0,0,0,1,2,1,0,0,0,0,0,31,1,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOutputPanel/0,false,138,0,1,1,0,1,2,8,0,1,0,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,8,2,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,main/1[java.lang.String[]],false,36,1,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setRightSide/0,false,129,1,2,1,1,1,4,8,0,1,0,4,0,0,0,0,0,0,0,6,2,0,0,0,0,0,8,2,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,false,149,7,16,1,15,4,25,56,0,17,0,25,1,1,1,0,1,0,10,3,12,0,3,0,0,7,38,2,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setCenterArea/0,false,83,0,1,1,0,1,9,33,0,2,0,9,0,0,0,0,0,0,33,11,11,0,0,0,0,0,28,2,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setMainPanel/0,false,60,0,1,1,0,1,2,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setLeftSide/0,false,66,1,2,1,1,1,3,12,0,1,0,3,0,0,0,0,0,0,27,4,4,0,0,0,0,0,13,2,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Network.java,neural.Network,addNeurons/1[int],false,13,1,2,1,1,2,1,3,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,5,1,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Network.java,neural.Network,Network/0,true,9,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Network.java,neural.Network,setInputs/1[java.util.ArrayList<java.lang.Integer>],false,18,1,3,2,1,2,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Network.java,neural.Network,getOutputs/0,false,23,1,2,1,1,2,2,5,1,1,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,1,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Network.java,neural.Network,adjustWages/1[java.util.ArrayList<java.lang.Double>],false,31,1,3,1,2,2,5,6,0,2,1,5,0,0,1,0,0,0,0,1,2,1,1,0,0,0,6,1,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/utils/MathUtils.java,utils.MathUtils,sigmoidValue/1[java.lang.Double],false,5,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,2,0,2,0,2,0,0,0,0,4,9,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Train.java,neural.Train,setInputs/1[java.util.ArrayList<java.lang.Integer>],false,29,1,2,1,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Train.java,neural.Train,train/1[long],false,20,2,5,1,4,2,7,8,0,3,1,7,0,0,1,0,0,2,0,1,3,1,1,0,0,0,7,1,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Train.java,neural.Train,getOutputs/0,false,37,1,3,2,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Train.java,neural.Train,Train/0,true,14,2,4,1,3,1,2,5,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,false
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Train.java,neural.Train,addTrainingSet/1[neural.TrainingSet],false,33,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
