file,class,method,variable,usage
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/data/GoodOutputs.java,data.GoodOutputs,getGoodOutput/1[java.lang.String],letter,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/data/GoodOutputs.java,data.GoodOutputs,getGoodOutput/1[java.lang.String],index,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/data/GoodOutputs.java,data.GoodOutputs,getGoodOutput/1[java.lang.String],charLetter,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,updateTextArea/0,outputs,2
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,updateTextArea/0,x,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,updateTextArea/0,i,4
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,updateTextArea/0,letterValue,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,updateTextArea/0,value,8
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,updateTextArea/0,sb,4
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOutputPanel/0,outputPanel,3
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,main/1[java.lang.String[]],args,0
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setRightSide/0,panel,4
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,outputs,3
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,number,2
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,e,6
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,letter,6
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,goodPixels,3
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,x,0
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,index,4
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,i,4
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setOnClicks/0,sb,8
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setCenterArea/0,centerPanel,15
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setCenterArea/0,gbc,10
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/gui/MainGui.java,gui.MainGui,setLeftSide/0,panel,6
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Network.java,neural.Network,addNeurons/1[int],count,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Network.java,neural.Network,addNeurons/1[int],i,2
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Network.java,neural.Network,setInputs/1[java.util.ArrayList<java.lang.Integer>],inputs,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Network.java,neural.Network,setInputs/1[java.util.ArrayList<java.lang.Integer>],n,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Network.java,neural.Network,getOutputs/0,outputs,2
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Network.java,neural.Network,getOutputs/0,n,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Network.java,neural.Network,adjustWages/1[java.util.ArrayList<java.lang.Double>],delta,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Network.java,neural.Network,adjustWages/1[java.util.ArrayList<java.lang.Double>],i,5
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Network.java,neural.Network,adjustWages/1[java.util.ArrayList<java.lang.Double>],goodOutput,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/utils/MathUtils.java,utils.MathUtils,sigmoidValue/1[java.lang.Double],arg,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Train.java,neural.Train,setInputs/1[java.util.ArrayList<java.lang.Integer>],inputs,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Train.java,neural.Train,train/1[long],set,2
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Train.java,neural.Train,train/1[long],count,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Train.java,neural.Train,train/1[long],i,2
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Train.java,neural.Train,train/1[long],index,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/Train.java,neural.Train,addTrainingSet/1[neural.TrainingSet],newSet,1
/Users/palesnow/Downloads/ood6/Neural-Network-Handwriting-Recognition-Java-master/src/neural/TrainingSet.java,neural.TrainingSet,"TrainingSet/2[java.util.ArrayList<java.lang.Integer>,java.util.ArrayList<java.lang.Double>]",inputs,2
