file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,class,8,8,0,8,8,1,0,9,0,0.5,0.5,0.5,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,8,72,0,0,0,4,0,20,6,22,4,18,1,0,0,0,50,1,0
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Point.java,com.java.laiy.model.Point,class,0,4,4,0,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,6,1,0
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/exceptions/InvalidBoardSizeException.java,com.java.laiy.model.exceptions.InvalidBoardSizeException,class,1,3,2,1,0,4,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameStarterTest.java,com.java.laiy.controller.GameStarterTest,class,8,8,0,8,6,1,0,13,13,0.75,0.06666667,0.06666667,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,11,45,0,0,0,0,0,11,7,16,1,16,0,0,0,0,34,1,0
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/view/ConsoleMenuView.java,com.java.laiy.view.ConsoleMenuView,class,4,8,4,4,10,1,0,10,3,0.6666667,0.0,0.0,3,3,1,0,2,0,3,0,0,0,6,6,0,6,0,0,5,0,7,68,2,0,0,2,0,16,5,14,4,14,2,0,0,0,55,1,0
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Figure.java,com.java.laiy.model.Figure,enum,0,9,9,0,2,1,0,0,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,2,0,1,0,1,0,0,0,0,8,1,0
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/model/PointTest.java,com.java.laiy.model.PointTest,class,2,2,0,2,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,6,0,6,0,0,0,0,13,1,0
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/view/IView.java,com.java.laiy.view.IView,interface,2,4,2,2,9,1,0,0,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Board.java,com.java.laiy.model.Board,class,4,13,9,4,13,1,0,2,0,0.625,0.52380955,0.71428573,8,0,7,1,0,0,7,0,0,0,3,2,0,3,0,0,3,0,0,45,5,0,0,0,2,0,3,5,1,3,1,0,0,0,39,1,0
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/view/ConsoleViewTest.java,com.java.laiy.view.ConsoleViewTest,class,10,10,0,10,21,1,0,22,0,0.6904762,0.6043956,0.6043956,14,0,14,0,0,0,14,0,0,0,3,0,1,2,0,0,3,0,14,225,0,0,0,7,0,88,50,103,14,79,1,0,0,0,83,1,0
