file,class,method,variable,usage
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,setUpStreams/0,errContent,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,setUpStreams/0,outContent,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGame/0,outContent,4
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGameStartTurn/0,outContent,4
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Point.java,com.java.laiy.model.Point,getY/0,y,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Point.java,com.java.laiy.model.Point,getX/0,x,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Point.java,com.java.laiy.model.Point,"Point/2[int,int]",x,3
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Point.java,com.java.laiy.model.Point,"Point/2[int,int]",y,3
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameStarterTest.java,com.java.laiy.controller.GameStarterTest,testDefaultStartOutput/0,outContent,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameStarterTest.java,com.java.laiy.controller.GameStarterTest,setUpStreams/0,errContent,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameStarterTest.java,com.java.laiy.controller.GameStarterTest,setUpStreams/0,outContent,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/view/ConsoleMenuView.java,com.java.laiy.view.ConsoleMenuView,enterSize/0,MIN_SIZE,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/view/ConsoleMenuView.java,com.java.laiy.view.ConsoleMenuView,enterSize/0,BOARD_SIZE,3
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/view/ConsoleMenuView.java,com.java.laiy.view.ConsoleMenuView,showMenuWithResult/0,LOAD_CODE,2
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/view/ConsoleMenuView.java,com.java.laiy.view.ConsoleMenuView,showMenuWithResult/0,START_CODE,2
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/view/ConsoleMenuView.java,com.java.laiy.view.ConsoleMenuView,showMenuWithResult/0,SETTINGS_CODE,2
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/view/ConsoleMenuView.java,com.java.laiy.view.ConsoleMenuView,showMenuWithResult/0,EXIT_CODE,2
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Figure.java,com.java.laiy.model.Figure,toString/0,figure,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Figure.java,com.java.laiy.model.Figure,Figure/1[java.lang.String],figure,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Board.java,com.java.laiy.model.Board,Board/1[int],figures,2
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Board.java,com.java.laiy.model.Board,Board/1[int],DEFAULT_BOARD_SIZE,3
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Board.java,com.java.laiy.model.Board,"getFigure/2[int,int]",figures,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Board.java,com.java.laiy.model.Board,Board/0,DEFAULT_BOARD_SIZE,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Board.java,com.java.laiy.model.Board,"setFigure/3[int,int,com.java.laiy.model.Figure]",figures,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Board.java,com.java.laiy.model.Board,checkCoordinate/1[int],MIN_COORDINATE,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Board.java,com.java.laiy.model.Board,getFiguresArray/0,figures,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Board.java,com.java.laiy.model.Board,getRowLength/1[int],figures,1
