file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,setUpStreams/0,false,23,1,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,cleanUpStreams/0,false,29,1,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGame/0,false,72,6,6,0,6,3,7,30,0,8,0,7,0,0,0,0,2,0,10,3,10,2,1,0,0,0,37,1,0,false
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGameStartTurn/0,false,35,6,6,0,6,3,7,30,0,8,0,7,0,0,0,0,2,0,10,3,10,2,1,0,0,0,39,1,0,false
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Point.java,com.java.laiy.model.Point,getY/0,false,17,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Point.java,com.java.laiy.model.Point,getX/0,false,13,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Point.java,com.java.laiy.model.Point,"Point/2[int,int]",true,8,0,3,3,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameStarterTest.java,com.java.laiy.controller.GameStarterTest,testDefaultStart/0,false,37,6,7,0,7,1,8,10,0,4,0,8,0,0,0,0,0,0,3,3,4,0,0,0,0,0,13,1,0,false
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameStarterTest.java,com.java.laiy.controller.GameStarterTest,testDefaultStartOutput/0,false,30,2,1,0,1,1,3,4,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,7,1,0,false
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameStarterTest.java,com.java.laiy.controller.GameStarterTest,testCustomStartIncorrectInput/0,false,62,4,3,0,3,1,4,8,0,5,0,4,0,0,0,0,0,0,3,1,5,0,0,0,0,0,17,1,0,false
