file,class,method,variable,usage
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGame/0,game,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGame/0,consoleView,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGame/0,in,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGame/0,e,3
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGame/0,players,3
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGame/0,gameGo,2
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGame/0,GAME_NAME,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGame/0,in1,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGame/0,board,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGameStartTurn/0,game,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGameStartTurn/0,consoleView,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGameStartTurn/0,in,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGameStartTurn/0,e,3
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGameStartTurn/0,players,3
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGameStartTurn/0,gameGo,2
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGameStartTurn/0,GAME_NAME,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGameStartTurn/0,in1,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameTest.java,com.java.laiy.controller.GameTest,testTheGameStartTurn/0,board,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Point.java,com.java.laiy.model.Point,"Point/2[int,int]",x,2
/Users/palesnow/Downloads/ood6/TicTacToe-master/src/com/java/laiy/model/Point.java,com.java.laiy.model.Point,"Point/2[int,int]",y,2
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameStarterTest.java,com.java.laiy.controller.GameStarterTest,testDefaultStart/0,playerTwoName,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameStarterTest.java,com.java.laiy.controller.GameStarterTest,testDefaultStart/0,gameName,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameStarterTest.java,com.java.laiy.controller.GameStarterTest,testDefaultStart/0,boardSize,1
/Users/palesnow/Downloads/ood6/TicTacToe-master/tst/com/java/laiy/controller/GameStarterTest.java,com.java.laiy.controller.GameStarterTest,testDefaultStart/0,playerOneName,1
