file,class,method,variable,usage
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleAccessDeniedException/2[io.example.configuration.HttpServletRequest,io.example.configuration.AccessDeniedException]",logger,1
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleMissingServletRequestParameterException/2[io.example.configuration.HttpServletRequest,io.example.configuration.MissingServletRequestParameterException]",logger,1
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleMethodArgumentTypeMismatchException/2[io.example.configuration.HttpServletRequest,io.example.configuration.MethodArgumentTypeMismatchException]",logger,1
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleMethodArgumentNotValidException/2[io.example.configuration.HttpServletRequest,io.example.configuration.MethodArgumentNotValidException]",logger,1
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleInternalServerError/2[io.example.configuration.HttpServletRequest,java.lang.Exception]",logger,1
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleNotFoundException/2[io.example.configuration.HttpServletRequest,io.example.domain.exception.NotFoundException]",logger,1
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleValidationException/2[io.example.configuration.HttpServletRequest,io.example.configuration.ValidationException]",logger,1
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/json/serializer/LocalDateDeserializer.java,io.example.configuration.json.serializer.LocalDateDeserializer,"deserialize/2[io.example.configuration.json.serializer.JsonParser,io.example.configuration.json.serializer.DeserializationContext]",fmt,1
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/test/java/io/example/api/TestBookSearchApi.java,io.example.api.TestBookSearchApi,"execute/2[java.lang.String,io.example.api.SearchBooksQuery]",objectMapper,2
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/test/java/io/example/api/TestBookSearchApi.java,io.example.api.TestBookSearchApi,"execute/2[java.lang.String,io.example.api.SearchBooksQuery]",mockMvc,1
