file,class,method,variable,usage
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleAccessDeniedException/2[io.example.configuration.HttpServletRequest,io.example.configuration.AccessDeniedException]",request,1
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleAccessDeniedException/2[io.example.configuration.HttpServletRequest,io.example.configuration.AccessDeniedException]",ex,2
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleMissingServletRequestParameterException/2[io.example.configuration.HttpServletRequest,io.example.configuration.MissingServletRequestParameterException]",request,1
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleMissingServletRequestParameterException/2[io.example.configuration.HttpServletRequest,io.example.configuration.MissingServletRequestParameterException]",ex,2
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleMethodArgumentTypeMismatchException/2[io.example.configuration.HttpServletRequest,io.example.configuration.MethodArgumentTypeMismatchException]",request,1
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleMethodArgumentTypeMismatchException/2[io.example.configuration.HttpServletRequest,io.example.configuration.MethodArgumentTypeMismatchException]",ex,4
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleMethodArgumentTypeMismatchException/2[io.example.configuration.HttpServletRequest,io.example.configuration.MethodArgumentTypeMismatchException]",details,4
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleMethodArgumentNotValidException/2[io.example.configuration.HttpServletRequest,io.example.configuration.MethodArgumentNotValidException]",request,1
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleMethodArgumentNotValidException/2[io.example.configuration.HttpServletRequest,io.example.configuration.MethodArgumentNotValidException]",ex,2
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleMethodArgumentNotValidException/2[io.example.configuration.HttpServletRequest,io.example.configuration.MethodArgumentNotValidException]",details,2
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleMethodArgumentNotValidException/2[io.example.configuration.HttpServletRequest,io.example.configuration.MethodArgumentNotValidException]",detail,5
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleMethodArgumentNotValidException/2[io.example.configuration.HttpServletRequest,io.example.configuration.MethodArgumentNotValidException]",fieldError,4
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleInternalServerError/2[io.example.configuration.HttpServletRequest,java.lang.Exception]",request,1
/Users/palesnow/Downloads/ood1/java-spring-security-example-master/src/main/java/io/example/configuration/GlobalExceptionHandler.java,io.example.configuration.GlobalExceptionHandler,"handleInternalServerError/2[io.example.configuration.HttpServletRequest,java.lang.Exception]",ex,2
