file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashEntry.java,com.squareup.squash.SquashEntry,"SquashEntry/11[java.lang.String,java.lang.String,java.lang.String,java.lang.Throwable,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",true,58,3,5,1,4,2,8,18,0,0,11,8,1,1,0,1,0,0,1,0,15,1,0,0,0,0,21,1,0,false
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashEntry.java,com.squareup.squash.SquashEntry,"createMessage/2[java.lang.Throwable,java.lang.String]",false,78,0,1,1,0,4,1,13,1,1,2,1,0,0,0,3,0,0,1,0,3,0,1,0,0,0,7,10,0,false
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashBacktrace.java,com.squareup.squash.SquashBacktrace,getIvars/1[java.lang.Throwable],false,53,0,2,2,0,7,10,22,2,3,1,10,0,0,1,1,1,0,2,0,3,1,4,0,0,0,17,9,0,false
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashBacktrace.java,com.squareup.squash.SquashBacktrace,SquashBacktrace/0,true,27,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashBacktrace.java,com.squareup.squash.SquashBacktrace,getStacktraceArray/1[java.lang.Throwable],false,42,1,2,1,1,2,6,8,1,2,1,6,0,0,1,0,0,0,0,0,2,0,1,0,0,0,12,10,0,false
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashBacktrace.java,com.squareup.squash.SquashBacktrace,"populateNestedExceptions/2[java.util.List<com.squareup.squash.SquashBacktrace.NestedException>,java.lang.Throwable]",false,81,2,6,2,4,4,8,9,1,2,2,8,3,2,0,3,0,0,0,0,2,0,1,0,0,0,23,9,0,true
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashBacktrace.java,com.squareup.squash.SquashBacktrace,getBacktraces/1[java.lang.Throwable],false,31,2,4,2,2,2,4,9,2,2,1,4,1,1,0,1,0,0,0,0,2,0,1,0,0,0,11,9,0,false
/Users/palesnow/Downloads/squash/src/test/java/com/squareup/squash/SquashEntryTest.java,com.squareup.squash.SquashEntryTest,testNoException/0,false,31,4,2,0,2,1,6,10,0,3,0,6,1,1,0,0,0,0,1,0,3,0,0,0,0,0,17,1,0,false
/Users/palesnow/Downloads/squash/src/test/java/com/squareup/squash/SquashEntryTest.java,com.squareup.squash.SquashEntryTest,serializeAndDeserialize/1[com.squareup.squash.SquashEntry],false,42,1,6,6,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,false
/Users/palesnow/Downloads/squash/src/test/java/com/squareup/squash/SquashEntryTest.java,com.squareup.squash.SquashEntryTest,testNestedExceptions/0,false,122,7,3,0,3,1,20,58,0,26,0,20,2,1,0,0,0,0,31,15,28,0,0,0,0,0,53,1,0,false
/Users/palesnow/Downloads/squash/src/test/java/com/squareup/squash/SquashEntryTest.java,com.squareup.squash.SquashEntryTest,testExceptionWithNoMessageOrLogMessage/0,false,93,4,2,0,2,1,9,11,0,6,0,9,1,1,0,0,0,0,7,2,6,0,0,0,0,0,31,1,0,false
/Users/palesnow/Downloads/squash/src/test/java/com/squareup/squash/SquashEntryTest.java,com.squareup.squash.SquashEntryTest,testExceptionWithNoMessage/0,false,75,4,2,0,2,1,9,12,0,7,0,9,1,1,0,0,0,0,7,2,7,0,0,0,0,0,29,1,0,false
/Users/palesnow/Downloads/squash/src/test/java/com/squareup/squash/SquashEntryTest.java,com.squareup.squash.SquashEntryTest,testInfinitelyNestedExceptions/0,false,200,7,3,0,3,1,20,59,0,26,0,20,2,1,0,0,0,0,31,15,28,0,0,0,0,0,54,1,0,false
/Users/palesnow/Downloads/squash/src/test/java/com/squareup/squash/SquashEntryTest.java,com.squareup.squash.SquashEntryTest,"assertBacktracesMatch/2[java.lang.StackTraceElement[],java.util.List<com.squareup.squash.SquashBacktrace.StackElement>]",false,111,1,3,3,0,2,8,10,0,4,2,8,0,0,1,0,0,0,0,1,4,0,1,0,0,0,12,2,0,false
/Users/palesnow/Downloads/squash/src/test/java/com/squareup/squash/SquashEntryTest.java,com.squareup.squash.SquashEntryTest,testWithSimpleExceptionNoIvars/0,false,46,6,3,0,3,1,17,24,0,11,0,17,2,1,0,0,0,0,11,4,11,0,0,0,0,0,43,1,0,false
