file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/main/java/com/udacity/GameUI.java,com.udacity.GameUI$Anonymous3,mouseClicked/1[java.awt.event.MouseEvent],false,68,1,1,0,1,3,6,11,1,7,1,6,0,0,0,0,0,8,0,4,7,8,1,0,0,0,15,1,0,false
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/main/java/com/udacity/GameUI.java,com.udacity.GameUI$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,60,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/main/java/com/udacity/GameUI.java,com.udacity.GameUI,GameUI/1[com.udacity.Game],true,32,2,2,1,1,2,13,53,0,5,1,13,0,0,0,0,1,0,6,2,10,0,1,3,0,0,56,1,0,true
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/main/java/com/udacity/GameUI.java,com.udacity.GameUI,paint/1[java.awt.Graphics],false,110,1,1,0,1,5,3,14,0,2,1,3,0,0,2,2,0,0,0,14,2,8,3,0,0,0,5,1,0,false
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/main/java/com/udacity/GameUI.java,com.udacity.GameUI,"panelMouseClicked/2[int,int]",false,137,1,4,1,3,4,4,14,3,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,2,0,true
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/main/java/com/udacity/GameUI.java,com.udacity.GameUI,newGameButtonPressed/1[boolean],false,170,1,2,1,1,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,true
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/main/java/com/udacity/GameUI.java,com.udacity.GameUI,gameOver/1[java.lang.String],false,161,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/main/java/com/udacity/GameUI.java,com.udacity.GameUI$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,51,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/test/java/com/udacity/GameTest.java,com.udacity.GameTest,tie_game_case2/0,false,170,3,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,1,0,false
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/test/java/com/udacity/GameTest.java,com.udacity.GameTest,setUp/0,false,15,2,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/test/java/com/udacity/GameTest.java,com.udacity.GameTest,vertical_o_win_case2/0,false,108,3,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,1,0,false
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/test/java/com/udacity/GameTest.java,com.udacity.GameTest,no_winner_case1/0,false,189,3,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,8,1,0,false
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/test/java/com/udacity/GameTest.java,com.udacity.GameTest,horizontal_o_win_case2/0,false,55,3,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,1,0,false
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/test/java/com/udacity/GameTest.java,com.udacity.GameTest,vertical_o_win_case3/0,false,116,3,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,1,0,false
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/test/java/com/udacity/GameTest.java,com.udacity.GameTest,tie_game_case3/0,false,179,3,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,1,0,false
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/test/java/com/udacity/GameTest.java,com.udacity.GameTest,diagonal_o_win_case1/0,false,143,3,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,1,0,false
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/test/java/com/udacity/GameTest.java,com.udacity.GameTest,vertical_x_win_case1/0,false,73,3,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,1,0,false
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/test/java/com/udacity/GameTest.java,com.udacity.GameTest,horizontal_o_win_case3/0,false,63,3,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,1,0,false
